time_start,precipitation
"Jan 1, 1981",1.066
"Jan 6, 1981",0.763
"Jan 11, 1981",0.624
"Jan 16, 1981",0.315
"Jan 21, 1981",0.62
"Jan 26, 1981",0.989
"Feb 1, 1981",2.344
"Feb 6, 1981",3.2
"Feb 11, 1981",5.675
"Feb 16, 1981",2.233
"Feb 21, 1981",2.586
"Feb 26, 1981",1.315
"Mar 1, 1981",6.756
"Mar 6, 1981",10.382
"Mar 11, 1981",23.825
"Mar 16, 1981",12.888
"Mar 21, 1981",7.801
"Mar 26, 1981",7.598
"Apr 1, 1981",9.633
"Apr 6, 1981",7.982
"Apr 11, 1981",13.241
"Apr 16, 1981",8.463
"Apr 21, 1981",21.83
"Apr 26, 1981",12.694
"May 1, 1981",43.027
"May 6, 1981",61.672
"May 11, 1981",33.528
"May 16, 1981",32.73
"May 21, 1981",32.94
"May 26, 1981",48
"Jun 1, 1981",25.631
"Jun 6, 1981",50.01
"Jun 11, 1981",36.154
"Jun 16, 1981",77.582
"Jun 21, 1981",47.207
"Jun 26, 1981",45.942
"Jul 1, 1981",156.696
"Jul 6, 1981",60.489
"Jul 11, 1981",84.105
"Jul 16, 1981",65.99
"Jul 21, 1981",120.211
"Jul 26, 1981",61.105
"Aug 1, 1981",135.191
"Aug 6, 1981",52.635
"Aug 11, 1981",114.741
"Aug 16, 1981",95.005
"Aug 21, 1981",75.902
"Aug 26, 1981",51.465
"Sep 1, 1981",85.923
"Sep 6, 1981",28.865
"Sep 11, 1981",56.925
"Sep 16, 1981",110.963
"Sep 21, 1981",75.409
"Sep 26, 1981",90.506
"Oct 1, 1981",81.843
"Oct 6, 1981",48.223
"Oct 11, 1981",50.795
"Oct 16, 1981",68.511
"Oct 21, 1981",37.208
"Oct 26, 1981",46.315
"Nov 1, 1981",29.926
"Nov 6, 1981",4.004
"Nov 11, 1981",14.046
"Nov 16, 1981",23.719
"Nov 21, 1981",20.35
"Nov 26, 1981",3.183
"Dec 1, 1981",9.97
"Dec 6, 1981",3.761
"Dec 11, 1981",1.722
"Dec 16, 1981",1.956
"Dec 21, 1981",2.485
"Dec 26, 1981",2.039
"Jan 1, 1982",1.114
"Jan 6, 1982",0.779
"Jan 11, 1982",0.651
"Jan 16, 1982",0.605
"Jan 21, 1982",0.634
"Jan 26, 1982",0.905
"Feb 1, 1982",2.059
"Feb 6, 1982",2.568
"Feb 11, 1982",2.881
"Feb 16, 1982",1.385
"Feb 21, 1982",3.463
"Feb 26, 1982",0.695
"Mar 1, 1982",3.64
"Mar 6, 1982",3.615
"Mar 11, 1982",4.863
"Mar 16, 1982",6.824
"Mar 21, 1982",9.684
"Mar 26, 1982",11.186
"Apr 1, 1982",11.973
"Apr 6, 1982",16.185
"Apr 11, 1982",8.878
"Apr 16, 1982",13.501
"Apr 21, 1982",31.148
"Apr 26, 1982",43.277
"May 1, 1982",34.851
"May 6, 1982",20.816
"May 11, 1982",33.723
"May 16, 1982",42.762
"May 21, 1982",45.707
"May 26, 1982",50.267
"Jun 1, 1982",58.152
"Jun 6, 1982",89.19
"Jun 11, 1982",71.174
"Jun 16, 1982",47.258
"Jun 21, 1982",49.985
"Jun 26, 1982",77.398
"Jul 1, 1982",110.454
"Jul 6, 1982",83.86
"Jul 11, 1982",46.523
"Jul 16, 1982",163.378
"Jul 21, 1982",70.556
"Jul 26, 1982",80.027
"Aug 1, 1982",142.184
"Aug 6, 1982",59.737
"Aug 11, 1982",95.949
"Aug 16, 1982",95.854
"Aug 21, 1982",69.263
"Aug 26, 1982",172.066
"Sep 1, 1982",70.993
"Sep 6, 1982",67.197
"Sep 11, 1982",41.796
"Sep 16, 1982",63.837
"Sep 21, 1982",48.214
"Sep 26, 1982",75.707
"Oct 1, 1982",32.936
"Oct 6, 1982",59.862
"Oct 11, 1982",41.164
"Oct 16, 1982",33.234
"Oct 21, 1982",48.128
"Oct 26, 1982",62.082
"Nov 1, 1982",24.95
"Nov 6, 1982",19.298
"Nov 11, 1982",39.822
"Nov 16, 1982",3.489
"Nov 21, 1982",19.406
"Nov 26, 1982",6.495
"Dec 1, 1982",2.488
"Dec 6, 1982",4.654
"Dec 11, 1982",1.38
"Dec 16, 1982",1.132
"Dec 21, 1982",0.816
"Dec 26, 1982",0.729
"Jan 1, 1983",1.149
"Jan 6, 1983",0.719
"Jan 11, 1983",0.608
"Jan 16, 1983",0.58
"Jan 21, 1983",0.599
"Jan 26, 1983",0.987
"Feb 1, 1983",1.354
"Feb 6, 1983",1.205
"Feb 11, 1983",1.195
"Feb 16, 1983",5.668
"Feb 21, 1983",2.472
"Feb 26, 1983",1.691
"Mar 1, 1983",2.582
"Mar 6, 1983",2.506
"Mar 11, 1983",6.956
"Mar 16, 1983",2.388
"Mar 21, 1983",6.604
"Mar 26, 1983",6.522
"Apr 1, 1983",8.896
"Apr 6, 1983",6.066
"Apr 11, 1983",28.377
"Apr 16, 1983",18.632
"Apr 21, 1983",5.413
"Apr 26, 1983",8.164
"May 1, 1983",30.876
"May 6, 1983",30.686
"May 11, 1983",50.814
"May 16, 1983",34.908
"May 21, 1983",28.756
"May 26, 1983",76.924
"Jun 1, 1983",70.325
"Jun 6, 1983",74.808
"Jun 11, 1983",90.186
"Jun 16, 1983",35.579
"Jun 21, 1983",38.593
"Jun 26, 1983",63.336
"Jul 1, 1983",57.801
"Jul 6, 1983",60.943
"Jul 11, 1983",107.934
"Jul 16, 1983",66.318
"Jul 21, 1983",81.206
"Jul 26, 1983",132.907
"Aug 1, 1983",65.505
"Aug 6, 1983",121.415
"Aug 11, 1983",125.032
"Aug 16, 1983",44.192
"Aug 21, 1983",61.897
"Aug 26, 1983",168.615
"Sep 1, 1983",28.448
"Sep 6, 1983",90.785
"Sep 11, 1983",85.132
"Sep 16, 1983",50.892
"Sep 21, 1983",119.201
"Sep 26, 1983",45.676
"Oct 1, 1983",36.332
"Oct 6, 1983",55.035
"Oct 11, 1983",50.219
"Oct 16, 1983",58.494
"Oct 21, 1983",60.085
"Oct 26, 1983",31.604
"Nov 1, 1983",11.565
"Nov 6, 1983",20.873
"Nov 11, 1983",12.25
"Nov 16, 1983",15.288
"Nov 21, 1983",19.45
"Nov 26, 1983",50.703
"Dec 1, 1983",6.232
"Dec 6, 1983",10.015
"Dec 11, 1983",1.836
"Dec 16, 1983",1.778
"Dec 21, 1983",1.831
"Dec 26, 1983",4.006
"Jan 1, 1984",1.546
"Jan 6, 1984",0.827
"Jan 11, 1984",0.668
"Jan 16, 1984",0.634
"Jan 21, 1984",0.688
"Jan 26, 1984",0.859
"Feb 1, 1984",1.813
"Feb 6, 1984",1.194
"Feb 11, 1984",1.416
"Feb 16, 1984",1.436
"Feb 21, 1984",1.502
"Feb 26, 1984",2.587
"Mar 1, 1984",5.109
"Mar 6, 1984",3.212
"Mar 11, 1984",3.774
"Mar 16, 1984",22.505
"Mar 21, 1984",6.891
"Mar 26, 1984",19.562
"Apr 1, 1984",13.854
"Apr 6, 1984",14.414
"Apr 11, 1984",27.103
"Apr 16, 1984",41.873
"Apr 21, 1984",9.184
"Apr 26, 1984",40.431
"May 1, 1984",39.481
"May 6, 1984",69.806
"May 11, 1984",47.046
"May 16, 1984",45.478
"May 21, 1984",39.055
"May 26, 1984",48.427
"Jun 1, 1984",38.634
"Jun 6, 1984",97.548
"Jun 11, 1984",55.71
"Jun 16, 1984",65.462
"Jun 21, 1984",47.393
"Jun 26, 1984",48.469
"Jul 1, 1984",134.861
"Jul 6, 1984",97.482
"Jul 11, 1984",79.41
"Jul 16, 1984",69.541
"Jul 21, 1984",93.93
"Jul 26, 1984",107.387
"Aug 1, 1984",102.085
"Aug 6, 1984",60.668
"Aug 11, 1984",48.829
"Aug 16, 1984",99.787
"Aug 21, 1984",90.101
"Aug 26, 1984",88.385
"Sep 1, 1984",19.604
"Sep 6, 1984",86.921
"Sep 11, 1984",58.133
"Sep 16, 1984",51.97
"Sep 21, 1984",88.724
"Sep 26, 1984",63.171
"Oct 1, 1984",61.479
"Oct 6, 1984",44.607
"Oct 11, 1984",65.843
"Oct 16, 1984",45.751
"Oct 21, 1984",26.373
"Oct 26, 1984",27.518
"Nov 1, 1984",37.614
"Nov 6, 1984",15.366
"Nov 11, 1984",21.226
"Nov 16, 1984",21.971
"Nov 21, 1984",12.915
"Nov 26, 1984",9.416
"Dec 1, 1984",2.451
"Dec 6, 1984",1.572
"Dec 11, 1984",1.504
"Dec 16, 1984",0.877
"Dec 21, 1984",1.233
"Dec 26, 1984",1.978
"Jan 1, 1985",1.581
"Jan 6, 1985",1.305
"Jan 11, 1985",1.015
"Jan 16, 1985",0.926
"Jan 21, 1985",1.026
"Jan 26, 1985",1.477
"Feb 1, 1985",2.172
"Feb 6, 1985",1.628
"Feb 11, 1985",1.64
"Feb 16, 1985",5.137
"Feb 21, 1985",1.809
"Feb 26, 1985",8.789
"Mar 1, 1985",3.741
"Mar 6, 1985",2.628
"Mar 11, 1985",5.662
"Mar 16, 1985",4.092
"Mar 21, 1985",9.145
"Mar 26, 1985",14.589
"Apr 1, 1985",4.233
"Apr 6, 1985",33.393
"Apr 11, 1985",8.946
"Apr 16, 1985",7.315
"Apr 21, 1985",17.308
"Apr 26, 1985",4.161
"May 1, 1985",11.154
"May 6, 1985",8.924
"May 11, 1985",27.467
"May 16, 1985",12.383
"May 21, 1985",26.94
"May 26, 1985",40.008
"Jun 1, 1985",40.085
"Jun 6, 1985",62.506
"Jun 11, 1985",36.295
"Jun 16, 1985",44.005
"Jun 21, 1985",36.071
"Jun 26, 1985",62.99
"Jul 1, 1985",89.832
"Jul 6, 1985",81.954
"Jul 11, 1985",99.084
"Jul 16, 1985",98.111
"Jul 21, 1985",102.414
"Jul 26, 1985",144.545
"Aug 1, 1985",124.916
"Aug 6, 1985",112.787
"Aug 11, 1985",138.042
"Aug 16, 1985",115.285
"Aug 21, 1985",150.848
"Aug 26, 1985",44.15
"Sep 1, 1985",84.88
"Sep 6, 1985",48.683
"Sep 11, 1985",65.247
"Sep 16, 1985",67.314
"Sep 21, 1985",83.814
"Sep 26, 1985",74.576
"Oct 1, 1985",47.193
"Oct 6, 1985",41.917
"Oct 11, 1985",63.501
"Oct 16, 1985",58.87
"Oct 21, 1985",32.501
"Oct 26, 1985",51.929
"Nov 1, 1985",38.354
"Nov 6, 1985",14.671
"Nov 11, 1985",33.054
"Nov 16, 1985",47.594
"Nov 21, 1985",10.331
"Nov 26, 1985",23.802
"Dec 1, 1985",2.567
"Dec 6, 1985",0.95
"Dec 11, 1985",1.526
"Dec 16, 1985",3.199
"Dec 21, 1985",0.921
"Dec 26, 1985",0.964
"Jan 1, 1986",1.033
"Jan 6, 1986",0.766
"Jan 11, 1986",0.632
"Jan 16, 1986",0.592
"Jan 21, 1986",0.618
"Jan 26, 1986",1.281
"Feb 1, 1986",1.617
"Feb 6, 1986",2.3
"Feb 11, 1986",1.977
"Feb 16, 1986",3.624
"Feb 21, 1986",2.439
"Feb 26, 1986",1.824
"Mar 1, 1986",6.445
"Mar 6, 1986",5.813
"Mar 11, 1986",2.197
"Mar 16, 1986",2.679
"Mar 21, 1986",2.802
"Mar 26, 1986",4.749
"Apr 1, 1986",10.088
"Apr 6, 1986",5.611
"Apr 11, 1986",5.691
"Apr 16, 1986",6.457
"Apr 21, 1986",12.686
"Apr 26, 1986",36.341
"May 1, 1986",22.775
"May 6, 1986",28.012
"May 11, 1986",32.025
"May 16, 1986",47.782
"May 21, 1986",31.935
"May 26, 1986",61.901
"Jun 1, 1986",44.61
"Jun 6, 1986",48.496
"Jun 11, 1986",87.668
"Jun 16, 1986",14.813
"Jun 21, 1986",38.094
"Jun 26, 1986",39.241
"Jul 1, 1986",135.34
"Jul 6, 1986",99.056
"Jul 11, 1986",56.106
"Jul 16, 1986",62.087
"Jul 21, 1986",61.148
"Jul 26, 1986",94.057
